FPR,TPR,Thresholds
0.0,0.0,inf
0.0006406149903907751,0.0,0.9579381
0.0006406149903907751,0.0036363636363636364,0.9518006
0.0019218449711723255,0.0036363636363636364,0.9446304
0.0019218449711723255,0.012727272727272728,0.92173743
0.0025624599615631004,0.012727272727272728,0.8945564
0.0025624599615631004,0.014545454545454545,0.882932
0.003843689942344651,0.014545454545454545,0.871487
0.003843689942344651,0.01818181818181818,0.8658821
0.004484304932735426,0.01818181818181818,0.86139923
0.004484304932735426,0.02,0.8607286
0.005765534913516977,0.02,0.8574779
0.005765534913516977,0.03272727272727273,0.83625835
0.0064061499039077515,0.03272727272727273,0.8341701
0.0064061499039077515,0.03636363636363636,0.8196689
0.007046764894298526,0.03636363636363636,0.8173557
0.007046764894298526,0.04,0.8137826
0.009609224855861628,0.04,0.8006889
0.009609224855861628,0.04181818181818182,0.7980998
0.011531069827033953,0.04181818181818182,0.7924933
0.011531069827033953,0.045454545454545456,0.78829944
0.016015374759769378,0.045454545454545456,0.7797587
0.016015374759769378,0.04909090909090909,0.7707259
0.01729660474055093,0.04909090909090909,0.7642138
0.01729660474055093,0.05272727272727273,0.7627561
0.017937219730941704,0.05272727272727273,0.76258504
0.017937219730941704,0.056363636363636366,0.7617826
0.018577834721332478,0.056363636363636366,0.76056665
0.018577834721332478,0.05818181818181818,0.75696075
0.019218449711723255,0.05818181818181818,0.75535196
0.019218449711723255,0.06,0.7537394
0.01985906470211403,0.06,0.7536475
0.01985906470211403,0.06181818181818182,0.7532368
0.020499679692504803,0.06181818181818182,0.7502291
0.020499679692504803,0.06363636363636363,0.7483718
0.02114029468289558,0.06363636363636363,0.745598
0.02114029468289558,0.06545454545454546,0.74392855
0.02370275464445868,0.06545454545454546,0.7378365
0.02370275464445868,0.06727272727272728,0.7357643
0.025624599615631006,0.06727272727272728,0.73252577
0.025624599615631006,0.07090909090909091,0.72888875
0.028187059577194105,0.07090909090909091,0.7263129
0.028187059577194105,0.07272727272727272,0.72365063
0.03010890454836643,0.07272727272727272,0.7192138
0.03010890454836643,0.07454545454545454,0.71709996
0.03074951953875721,0.07454545454545454,0.71627873
0.03074951953875721,0.07636363636363637,0.7109523
0.032030749519538756,0.07636363636363637,0.70780283
0.032030749519538756,0.07818181818181819,0.7048579
0.033952594490711085,0.07818181818181819,0.6997622
0.033952594490711085,0.08,0.6980216
0.035233824471492634,0.08,0.6921744
0.035233824471492634,0.08545454545454545,0.6877636
0.03587443946188341,0.08545454545454545,0.68681896
0.03587443946188341,0.0890909090909091,0.6852464
0.04035874439461883,0.0890909090909091,0.6660259
0.04035874439461883,0.09636363636363636,0.66414803
0.04099935938500961,0.09636363636363636,0.6633043
0.04099935938500961,0.09818181818181818,0.6629687
0.04228058936579116,0.09818181818181818,0.66227525
0.04228058936579116,0.11090909090909092,0.6510737
0.042921204356181936,0.11090909090909092,0.64867216
0.042921204356181936,0.11272727272727273,0.64741343
0.04676489429852659,0.11272727272727273,0.6364332
0.04676489429852659,0.11454545454545455,0.6353688
0.048046124279308135,0.11454545454545455,0.6332397
0.048046124279308135,0.11636363636363636,0.62963736
0.04932735426008968,0.11636363636363636,0.6269021
0.04932735426008968,0.12727272727272726,0.6215469
0.05060858424087124,0.12727272727272726,0.6197975
0.05060858424087124,0.13454545454545455,0.6154945
0.05253042921204356,0.13454545454545455,0.6101665
0.05253042921204356,0.13636363636363635,0.609829
0.053171044202434334,0.13636363636363635,0.6086343
0.053171044202434334,0.14545454545454545,0.6025904
0.053811659192825115,0.14545454545454545,0.5977455
0.053811659192825115,0.14727272727272728,0.59602815
0.05445227418321589,0.14727272727272728,0.59538335
0.05445227418321589,0.14909090909090908,0.5937841
0.05509288917360666,0.14909090909090908,0.592793
0.05509288917360666,0.15818181818181817,0.58390945
0.058936579115951314,0.15818181818181817,0.5794847
0.058936579115951314,0.16,0.57935786
0.06021780909673286,0.16,0.57693416
0.06021780909673286,0.1618181818181818,0.57560134
0.06342088404868675,0.1618181818181818,0.5732467
0.06342088404868675,0.16727272727272727,0.57079
0.06406149903907751,0.16727272727272727,0.57041085
0.06406149903907751,0.1690909090909091,0.5702891
0.06534272901985906,0.1690909090909091,0.56629956
0.06534272901985906,0.1709090909090909,0.56474113
0.06854580397181294,0.1709090909090909,0.56279135
0.06854580397181294,0.17454545454545456,0.561243
0.07174887892376682,0.17454545454545456,0.55449283
0.07174887892376682,0.18,0.5522776
0.07559256886611147,0.18,0.54772544
0.07559256886611147,0.18181818181818182,0.5470138
0.07815502882767457,0.18181818181818182,0.54499185
0.07815502882767457,0.18545454545454546,0.5429129
0.08071748878923767,0.18545454545454546,0.54193836
0.08071748878923767,0.18727272727272729,0.540866
0.08135810377962845,0.18727272727272729,0.5387096
0.08135810377962845,0.2,0.5323822
0.08199871877001921,0.2,0.5310202
0.08199871877001921,0.20363636363636364,0.5293511
0.08584240871236387,0.20363636363636364,0.52392745
0.08584240871236387,0.20909090909090908,0.5199601
0.08648302370275464,0.20909090909090908,0.5183257
0.08648302370275464,0.2109090909090909,0.51794314
0.0877642536835362,0.2109090909090909,0.51739454
0.0877642536835362,0.21636363636363637,0.5148897
0.0954516335682255,0.21636363636363637,0.5088286
0.0954516335682255,0.22,0.5061963
0.09993593850096093,0.22,0.50187534
0.09993593850096093,0.22181818181818183,0.5003054
0.1005765534913517,0.22181818181818183,0.50028
0.1005765534913517,0.2290909090909091,0.49813765
0.10185778347213324,0.2290909090909091,0.4966577
0.10185778347213324,0.23272727272727273,0.49450198
0.10249839846252402,0.23272727272727273,0.49441063
