FPR,TPR,Thresholds
0.0,0.0,inf
0.0006406149903907751,0.0,0.874809662691274
0.0012812299807815502,0.0,0.8595689257461705
0.0012812299807815502,0.007272727272727273,0.746279150159829
0.0019218449711723255,0.007272727272727273,0.7298502054665571
0.0019218449711723255,0.00909090909090909,0.7274939823730051
0.0032030749519538757,0.00909090909090909,0.7138638860695997
0.0032030749519538757,0.01090909090909091,0.7122789068750047
0.004484304932735426,0.01090909090909091,0.6871028233962537
0.004484304932735426,0.012727272727272728,0.6865699285786495
0.0064061499039077515,0.012727272727272728,0.682684449224399
0.0064061499039077515,0.014545454545454545,0.6818279309834958
0.007046764894298526,0.014545454545454545,0.681233401842214
0.007046764894298526,0.016363636363636365,0.6773741923910416
0.007687379884689302,0.016363636363636365,0.6726850635664867
0.007687379884689302,0.01818181818181818,0.6683488179935022
0.008327994875080076,0.01818181818181818,0.6610211500774115
0.008327994875080076,0.02727272727272727,0.6505703879568087
0.008968609865470852,0.02727272727272727,0.6491389677675649
0.008968609865470852,0.02909090909090909,0.6346534680690321
0.009609224855861628,0.02909090909090909,0.6346212927578214
0.009609224855861628,0.03090909090909091,0.6284785361530772
0.010249839846252402,0.03090909090909091,0.6268745614938978
0.010249839846252402,0.03272727272727273,0.6243831181769286
0.012171684817424727,0.03272727272727273,0.6171373469166694
0.012171684817424727,0.034545454545454546,0.6149260115393458
0.012812299807815503,0.034545454545454546,0.6123241365052584
0.012812299807815503,0.038181818181818185,0.6109345026714755
0.013452914798206279,0.038181818181818185,0.6100052466804743
0.013452914798206279,0.04,0.6081671311407527
0.015374759769378604,0.04,0.6025636192495918
0.015374759769378604,0.04363636363636364,0.5998495255299309
0.016015374759769378,0.04363636363636364,0.5984312772114003
0.016015374759769378,0.045454545454545456,0.5970840361662092
0.017937219730941704,0.045454545454545456,0.590449333649219
0.017937219730941704,0.04727272727272727,0.5903370437581607
0.018577834721332478,0.04727272727272727,0.5872701891247819
0.018577834721332478,0.04909090909090909,0.5858433524165271
0.019218449711723255,0.04909090909090909,0.5837023397150498
0.019218449711723255,0.05090909090909091,0.5820781555119685
0.01985906470211403,0.05090909090909091,0.5817511906894943
0.01985906470211403,0.05272727272727273,0.5814686617768549
0.020499679692504803,0.05272727272727273,0.579913721252331
0.020499679692504803,0.05454545454545454,0.5785292948835059
0.023062139654067906,0.05454545454545454,0.5683472242314694
0.023062139654067906,0.056363636363636366,0.5680383913879746
0.02370275464445868,0.056363636363636366,0.5676001434781257
0.02370275464445868,0.06,0.5662122126983876
0.024343369634849454,0.06,0.5661886992757977
0.024343369634849454,0.06363636363636363,0.5640294088320621
0.024983984625240232,0.06363636363636363,0.5630267474483515
0.024983984625240232,0.06727272727272728,0.5606802869749298
0.025624599615631006,0.06727272727272728,0.5594196693902637
0.025624599615631006,0.07272727272727272,0.5541103096892915
0.02626521460602178,0.07272727272727272,0.5533103754956575
0.02626521460602178,0.07454545454545454,0.5530414951729715
0.03139013452914798,0.07454545454545454,0.54408720413104
0.03139013452914798,0.07818181818181819,0.5399540182612784
0.032030749519538756,0.07818181818181819,0.5393586294064608
0.032030749519538756,0.08181818181818182,0.535837626462625
0.033311979500320305,0.08181818181818182,0.5351904126504637
0.033311979500320305,0.08363636363636363,0.534352694670068
0.033952594490711085,0.08363636363636363,0.5336985467603985
0.033952594490711085,0.09272727272727273,0.5298103874224501
0.03459320948110186,0.09272727272727273,0.5280990995038624
0.03459320948110186,0.09818181818181818,0.5253367300458397
0.035233824471492634,0.09818181818181818,0.5245823312717025
