iter	RMSE
144	0.3968743112
145	0.3967122439
146	0.3964620116
147	0.3963829315
148	0.3960966828
149	0.3959040095
150	0.3958245664
151	0.3957060207
152	0.3955365377
153	0.3952990868
154	0.3951874629
155	0.3950019951
156	0.3949013845
157	0.394695568
158	0.3945677433
159	0.3944939689
160	0.3942962668
161	0.3942212457
162	0.3942050533
163	0.3941183493
164	0.3939850095
165	0.3939289873
166	0.3938401519
167	0.3937024264
168	0.3935692658
169	0.3935572465
170	0.3934728721
171	0.3932869218
172	0.3931325285
173	0.3930538421
174	0.3928258969
175	0.3926557967
176	0.3924585821
177	0.392250872
178	0.3920211676
179	0.391654894
180	0.3915239669
181	0.3913688944
182	0.3912361677
183	0.3912282073
184	0.391112723
185	0.3910276571
186	0.3908861815
187	0.3907102437
188	0.390495885
189	0.390272345
190	0.3900789945
191	0.3899035733
192	0.3897381976
193	0.3896115339
194	0.3895282875
195	0.3893817243
196	0.3892280332
197	0.3891348114
198	0.3890677359
199	0.3889979158
200	0.3889414344
201	0.3888168053
202	0.3886539504
203	0.3885467599
204	0.3884182645
205	0.3883023524
206	0.3881980866
207	0.3881406969
208	0.3879975877
209	0.3878416563
210	0.3877295527
211	0.3877189595
212	0.3875135934
213	0.3873618085
214	0.3873027885
215	0.3870687771
216	0.3869137248
217	0.3867375666
218	0.3865083943
219	0.3863327498
220	0.3860949993
221	0.3859786185
222	0.3857692862
223	0.3856519491
224	0.3854557011
225	0.385316924
226	0.3852313577
227	0.3851381352
228	0.3849157942
229	0.3848055265
230	0.3846896113
231	0.384508553
232	0.3844740255
233	0.3842493146
234	0.3840991871
235	0.3838845986
236	0.3838666147
237	0.3837694427
238	0.3835620623
239	0.3833049787
240	0.383149628
241	0.3830555593
242	0.3829352579
243	0.3828505803
244	0.3826400492
245	0.3825983855
246	0.3825156243
247	0.3824225445
248	0.3823935422
249	0.382285773
250	0.3822728781
251	0.3821892928
252	0.3821241277
253	0.3818577457
254	0.3817327663
255	0.3816612825
256	0.381519745
257	0.3814404214
258	0.3812949575
259	0.3810824922
260	0.3809998417
261	0.3807759001
262	0.3807051322
263	0.3805318471
264	0.3804218311
265	0.3804144172
266	0.3801942683
267	0.3800515251
268	0.379937384
269	0.379872458
270	0.3797076681
271	0.3796144987
272	0.3795836271
273	0.3794568697
274	0.3793380742
275	0.3792650954
276	0.3791611956
277	0.3790983648
278	0.3790085435
279	0.378837253
280	0.3788002175
281	0.3786700783
282	0.3783999441
283	0.3782494979
284	0.378140329
285	0.3780643106
286	0.3780430434
287	0.3779812198
288	0.3779024376
289	0.3777783305
290	0.3777480484
291	0.3776011802
292	0.3775347638
293	0.3773843486
294	0.3772715411
295	0.3770698691
296	0.3769022035
297	0.3768647355
298	0.3767095357
299	0.3765266013
300	0.3764235644
301	0.3763845062
302	0.3762243617
303	0.3761170696
304	0.3760404812
305	0.3759374149
306	0.3758262761
307	0.3757403386
308	0.3755357811
309	0.3754203387
310	0.3752803267
311	0.3752318679
312	0.3751771461
313	0.3750622682
314	0.3749962415
315	0.3748278389
316	0.3747280742
317	0.3746781239
318	0.3745183568
319	0.3744619943
320	0.3742578846
321	0.374090004
322	0.3739558408
323	0.3738320047
324	0.3736780709
325	0.3735845735
326	0.3733776479
327	0.3733201287
328	0.3732466994
329	0.3731908881
330	0.3731417857
331	0.3730474126
332	0.3728719158
333	0.3727875766
334	0.3725899497
335	0.3724303593
336	0.3723429712
337	0.372315899
338	0.3722258212
339	0.3721952464
340	0.3721042242
341	0.3718919556
342	0.3718491643
343	0.3717157493
344	0.371618952
345	0.37156464
346	0.3715081898
347	0.3713454425
348	0.3712822998
349	0.3711486719
350	0.371085631
351	0.3709560459
352	0.3709169451
353	0.3707901122
354	0.3707417754
355	0.3706413085
356	0.3705909484
357	0.3704078139
358	0.3703448806
359	0.3702551915
360	0.3701468695
361	0.3699764792
362	0.3698495773
363	0.3697840225
364	0.3696706742
365	0.3694777084
366	0.3692988092
367	0.3692669344
368	0.3692304474
369	0.3691348375
370	0.3689437348
371	0.3689052577
372	0.3687445466
373	0.3686610292
374	0.3685959609
375	0.3685255074
376	0.3684457547
377	0.368271144
378	0.3682212536
379	0.3681168675
380	0.3679177031
381	0.3678216961
382	0.3677293644
383	0.3676751215
384	0.3675730425
385	0.3675160176
386	0.3673860471
387	0.3672674303
388	0.3671438811
389	0.3670391752
390	0.3669754826
391	0.3669505852
392	0.3668976224
393	0.3666886609
394	0.3664334219
395	0.3662767087
396	0.3661790975
397	0.3660642454
398	0.3659045179
399	0.3656839487
400	0.3656362903
401	0.3655912076
402	0.3654747104
403	0.3653938486
404	0.3652696022
405	0.3650802279
406	0.3650000167
407	0.3649808705
408	0.3649420693
409	0.3649325876
410	0.3648297044
411	0.3646638272
412	0.364542045
413	0.3644413444
414	0.3642289131
415	0.3641396733
416	0.3640454824
417	0.3638681694
418	0.363744854
419	0.3636224609
420	0.3634907352
421	0.363322417
422	0.3632499238
423	0.3631168554
424	0.363112844
425	0.3630106113
426	0.3629298094
427	0.3627849228
428	0.3625975995
429	0.362378296
430	0.3623449354
431	0.3623224613
432	0.3621813208
433	0.3620032899
434	0.361864471
435	0.3617840871
436	0.3616586086
437	0.3615221467
438	0.3614632158
439	0.3613295098
440	0.3611298099
441	0.3609427209
442	0.3608610942
443	0.3607533496
444	0.3606695654
445	0.360569573
446	0.3604084818
447	0.3602902509
448	0.3601605242
449	0.3600813393
450	0.3599637073
451	0.3598480639
452	0.3597008742
453	0.3596106065
454	0.3595587392
455	0.359335947
456	0.3592986539
457	0.3591461662
458	0.3591011023
459	0.359031528
460	0.3589931139
461	0.3589513878
462	0.3589216014
463	0.3588619082
464	0.3587306512
465	0.3587007607
466	0.3586361051
467	0.358464089
468	0.3584235952
469	0.3583300276
470	0.3582473711
471	0.35806824
472	0.3578937351
473	0.3578173872
474	0.3577462775
475	0.3576252957
476	0.3575325652
477	0.3573694523
478	0.3573271156
479	0.3572653383
480	0.3571871908
481	0.3570928066
482	0.3570275151
483	0.3569736096
484	0.3568727192
485	0.3566962509
486	0.3565833877
487	0.3564163589
488	0.3562391642
489	0.356191304
490	0.3561628678
491	0.3561154461
492	0.355990233
493	0.3559853401
494	0.3559403922
495	0.3559058354
496	0.3557815152
497	0.3557339638
498	0.3555699362
499	0.3554711537
